I1,I2,I3,I4,F1,F2,F3,F4,M1,M2,M3,M4,M5,M6,M7,R1,R2,R3
1.11905,1.40600,2.63060,3.57866,1.79983,2.92871,7.58270,13.56857,5.19066,3.40751,2.52523,4.82970,2.20295,4.52302,4.39778,1.18528,4.67972,13.85539
1.12359,1.41672,2.62398,3.80052,1.77394,3.18083,7.61351,13.55568,5.25466,3.41457,3.33214,7.15491,2.18069,4.60303,4.38861,1.07097,4.74938,14.95020
1.14250,1.42914,2.60521,4.14649,1.78362,3.33094,7.58240,13.51974,5.43075,3.43195,4.96935,4.87152,2.16668,4.77309,4.40067,1.14619,4.79063,14.45381
1.17487,1.44350,2.57350,3.63291,1.82887,3.39634,7.48544,13.46116,5.71552,3.45946,5.46431,0.49776,2.16063,5.02142,4.43125,1.67686,4.76384,13.17283
1.21925,1.45962,2.52735,4.38906,1.90970,3.38342,7.33350,13.38055,6.08653,3.49678,3.73114,0.86772,2.16232,5.33392,4.46914,3.57797,4.66127,12.89849
1.24699,1.47697,2.47047,4.40395,2.01518,3.39469,7.15581,13.30934,6.37882,3.53696,3.08732,0.90435,2.17050,5.53816,4.48831,1.46316,4.67972,12.78276
1.25960,1.49488,2.40078,4.42166,2.14534,3.42986,6.97652,13.24720,6.57006,3.57990,2.70762,0.90983,2.18528,5.64912,4.47785,1.39881,4.69947,12.66948
1.25772,1.51246,2.31524,4.44221,2.30018,3.48799,6.81648,13.19387,6.65754,3.62545,2.43584,0.89531,2.20689,5.67388,4.43734,2.54491,4.71910,12.55641
1.24127,1.52860,2.20932,4.46572,2.47971,3.56766,6.69392,13.14912,6.64317,3.67349,2.22485,0.82224,2.23464,5.61393,4.37656,1.93779,4.73658,12.44147
1.24871,1.54172,2.12754,4.48730,2.67647,3.62777,6.62420,13.11034,6.54408,3.70843,2.16152,0.66656,2.24876,5.58310,4.31895,1.46945,4.74938,12.44041
1.27943,1.55131,2.07843,4.50697,2.89047,3.66958,6.61318,13.07740,6.36293,3.73072,2.16530,0.23059,2.24749,5.58203,4.27372,1.44700,4.75766,12.55315
1.33110,1.55756,2.06805,4.52501,3.12172,3.69390,6.65621,13.05021,6.10252,3.74068,2.23984,1.68836,2.23088,5.61074,4.24140,1.82925,4.76384,12.79070
1.40015,1.56131,2.09778,4.54144,3.37025,3.70121,6.73812,13.02869,5.78126,3.73843,2.48832,2.80311,2.20061,5.66863,4.21472,2.77063,4.77260,13.17283
1.44853,1.56415,2.09423,4.55394,3.49672,3.71409,6.83389,12.99045,5.53455,3.73750,2.79183,3.67859,2.17344,5.72255,4.17536,1.43860,4.79063,13.46916
1.47931,1.56710,2.05699,4.56273,3.50115,3.73250,6.92789,12.93580,5.38070,3.73790,3.10602,4.43908,2.15004,5.77263,4.11746,1.29393,4.81883,13.67035
1.49425,1.57077,1.98141,4.56778,3.38352,3.75633,7.01231,12.86517,5.32167,3.73962,3.31445,5.19254,2.13031,5.81900,4.04409,1.58296,4.85310,13.76822
1.49414,1.57551,1.85637,4.56916,3.14383,3.78545,7.08593,12.77914,5.35385,3.74267,3.29330,6.04592,2.11546,5.86177,3.96773,3.03740,4.88622,13.75876
1.50169,1.58145,1.75484,4.53254,3.03326,3.80983,7.15342,12.71092,5.44837,3.74545,3.31895,6.38714,2.13005,5.90997,3.91497,2.07021,4.90911,13.85539
1.51668,1.58846,1.68807,4.45644,3.05179,3.82961,7.21800,12.65993,5.60116,3.74795,3.40111,6.26464,2.17705,5.96341,3.89519,1.65996,4.91888,14.06347
1.53875,1.59615,1.66528,4.33782,3.19942,3.84487,7.28172,12.62572,5.81061,3.75020,3.57645,5.66102,2.26151,6.02192,3.90732,1.46521,4.91654,14.39950
1.56736,1.60380,1.68998,4.17118,3.47617,3.85570,7.34569,12.60798,6.06871,3.75217,3.95778,4.49059,2.39052,6.08531,3.93974,1.38661,4.90678,14.88984
1.60632,1.61034,1.71779,4.03121,3.59533,3.86970,7.41021,12.58170,6.31681,3.75738,4.52927,4.15475,2.52653,6.14900,3.96357,1.30943,4.89901,15.20763
1.65427,1.61576,1.74841,3.92101,3.55691,3.88683,7.47595,12.54697,6.54684,3.76579,5.71108,4.60581,2.66518,6.21297,3.96627,1.23414,4.89963,15.32633
1.70970,1.62106,1.78152,3.84338,3.36091,3.90703,7.54396,12.50394,6.75663,3.77739,21.42483,5.90780,2.80374,6.27721,3.94624,1.16111,4.91136,15.23839
1.77112,1.62833,1.81682,3.80052,3.00731,3.93027,7.61576,12.45279,6.93816,3.79214,3.04918,8.24556,2.93696,6.34171,3.91212,1.09064,4.93289,14.95020
1.82150,1.64097,1.82405,3.75523,2.76500,3.95028,7.69337,12.41590,7.03327,3.80331,1.84772,9.40947,3.01843,6.39631,3.88642,1.01208,4.95948,14.73743
1.86247,1.65953,1.80392,3.70717,2.63397,3.96715,7.77595,12.39299,7.03438,3.81092,1.67660,9.56475,3.03650,6.44133,3.87851,1.14833,4.98764,14.58704
1.89520,1.68212,1.75443,3.65596,2.61419,3.98094,7.85987,12.38388,6.94286,3.81502,2.24094,8.73346,2.98911,6.47705,3.89005,1.32745,5.01502,14.49485
1.92051,1.70492,1.67016,3.60110,2.70567,3.99168,7.93871,12.38851,6.77657,3.81562,5.48687,6.79758,2.88643,6.50366,3.91594,1.55134,5.04024,14.45381
1.95435,1.72217,1.58898,3.57866,2.71554,3.99658,8.00296,12.38575,6.66819,3.81897,16.58710,5.41657,2.81098,6.54923,3.94142,1.79007,5.06255,14.39200
1.99574,1.73237,1.51267,3.58937,2.64380,3.99567,8.04829,12.37561,6.63554,3.82506,8.06105,4.39438,2.76327,6.61326,3.96109,2.04454,5.08189,14.30708
2.04359,1.73695,1.44335,3.63291,2.49044,3.98893,8.07486,12.35811,6.67974,3.83388,6.93323,3.58591,2.74088,6.69507,3.97644,2.31576,5.09876,14.19712
2.09678,1.74025,1.38338,3.70796,2.25546,3.97634,8.08712,12.33333,6.79146,3.84541,6.54227,2.87640,2.74128,6.79381,3.99684,2.60485,5.11406,14.06489
2.14132,1.75022,1.33957,3.76698,2.10386,3.97492,8.09414,12.31581,6.89942,3.85430,6.29780,2.50127,2.74132,6.88262,4.04451,2.74629,5.12910,14.03795
2.17834,1.76946,1.31465,3.81125,2.03562,3.98471,8.10144,12.30547,6.99414,3.86058,6.12807,2.40728,2.73966,6.96199,4.12663,2.74001,5.14457,14.11772
2.20868,1.79588,1.31029,3.84158,2.05074,4.00559,8.11150,12.30228,7.07572,3.86425,5.99374,2.58108,2.73624,7.03232,4.23782,2.58602,5.16068,14.30708
2.23298,1.82373,1.32682,3.85868,2.14923,4.03735,8.12388,12.30622,7.15443,3.86535,5.86927,3.04734,2.73121,7.09397,4.35471,2.28440,5.17723,14.62119
2.25850,1.84421,1.32730,3.88779,2.17956,4.06274,8.13527,12.29182,7.30723,3.86903,5.93001,3.43352,2.72698,7.15936,4.42019,2.10974,5.19366,14.76603
2.28514,1.85419,1.27934,3.92883,2.14172,4.08193,8.14555,12.25921,7.54334,3.87530,6.20484,3.79443,2.72368,7.22835,4.40976,2.06010,5.20952,14.73267
2.31275,1.85378,1.22801,3.98149,2.03573,4.09504,8.15769,12.20871,7.85497,3.88413,6.85017,4.18130,2.72147,7.30082,4.32577,2.13486,5.22444,14.52390
2.34124,1.84591,1.18092,4.04538,1.86158,4.10216,8.17800,12.14077,8.17449,3.89550,8.43476,4.64907,2.72270,7.37663,4.19773,2.33493,5.23809,14.15080
2.36714,1.83726,1.13894,4.10018,1.75661,4.10804,8.21646,12.11583,8.00184,3.90449,9.72045,5.01499,2.76912,7.43104,4.08926,2.45672,5.25020,13.97600
2.39065,1.83189,1.10296,4.14649,1.72082,4.11271,8.27667,12.13333,7.27131,3.91111,10.14019,5.33102,2.86807,7.46467,4.02409,2.50033,5.26027,13.97881
2.41195,1.83165,1.31177,4.18494,1.75421,4.11616,8.35627,12.19365,5.98948,3.91538,9.47141,5.64202,3.03060,7.47787,4.00390,2.46583,5.26765,14.16090
2.43118,1.83623,1.07385,4.21608,1.85678,4.11842,8.44709,12.29821,4.27145,3.91732,8.06013,5.99214,3.27008,7.47079,4.01214,2.35316,5.27145,14.54231
2.45640,1.84307,1.04894,4.23952,1.90384,4.12577,8.53518,12.36638,2.97509,3.91846,7.33360,6.16176,3.48136,7.49804,4.00552,2.31526,5.27048,14.80757
